idx,cog,diff,aph
0,0.2268092781305313,0.22605034708976746,0.1978738009929657
1,0.24485880136489868,0.1892118901014328,0.15675777196884155
2,0.2088191956281662,0.17589297890663147,0.1601237952709198
3,0.1754167675971985,0.18524090945720673,0.1750694364309311
4,0.21332062780857086,0.20126624405384064,0.2265310138463974
5,0.2495538741350174,0.21714875102043152,0.1716792732477188
6,0.19942820072174072,0.20634755492210388,0.18693241477012634
7,0.21589413285255432,0.15953880548477173,0.17318953573703766
8,0.24835997819900513,0.19499677419662476,0.15487052500247955
9,0.20585781335830688,0.18940193951129913,0.16542303562164307
10,0.20374387502670288,0.19062255322933197,0.2069201022386551
11,0.2128375917673111,0.20709264278411865,0.18339903652668
12,0.198871448636055,0.1632024645805359,0.1857030987739563
13,0.2343464344739914,0.21324209868907928,0.17562101781368256
14,0.21378572285175323,0.20442436635494232,0.16401229798793793
15,0.19323121011257172,0.23058587312698364,0.19453676044940948
16,0.23690305650234222,0.21092580258846283,0.20552442967891693
17,0.2397242933511734,0.22377510368824005,0.21277882158756256
18,0.27292490005493164,0.23876124620437622,0.22150546312332153
19,0.2137213796377182,0.18388932943344116,0.20162451267242432
20,0.2022067904472351,0.20860391855239868,0.21336211264133453
21,0.2042076289653778,0.18352171778678894,0.19169564545154572
22,0.21459630131721497,0.21127057075500488,0.17572641372680664
23,0.20297174155712128,0.1949329972267151,0.1802491694688797
24,0.21826855838298798,0.21395820379257202,0.14086219668388367
25,0.1841253936290741,0.15835034847259521,0.1427832543849945
26,0.20018787682056427,0.20621535181999207,0.16238519549369812
27,0.2215569168329239,0.2026577591896057,0.17524811625480652
28,0.2334398776292801,0.2308281511068344,0.19053606688976288
29,0.17554880678653717,0.1659802943468094,0.15434640645980835
30,0.21368509531021118,0.20862679183483124,0.1771998554468155
31,0.20722833275794983,0.21559609472751617,0.16243800520896912
32,0.234003484249115,0.2302844077348709,0.1996036320924759
33,0.22384274005889893,0.21026067435741425,0.17445187270641327
34,0.2744767665863037,0.24276652932167053,0.19334882497787476
35,0.2302941530942917,0.24481101334095,0.18661801517009735
36,0.19104154407978058,0.20883651077747345,0.18515047430992126
37,0.24675174057483673,0.23904924094676971,0.21393966674804688
38,0.23799726366996765,0.19960343837738037,0.1810130774974823
39,0.21593829989433289,0.23210707306861877,0.19118745625019073
40,0.23195944726467133,0.23989683389663696,0.19216854870319366
41,0.25138649344444275,0.2481199949979782,0.21368926763534546
42,0.2474638968706131,0.24961309134960175,0.2221389263868332
43,0.19040417671203613,0.23907551169395447,0.21528060734272003
44,0.27183759212493896,0.24324750900268555,0.21201953291893005
45,0.26310816407203674,0.2357824295759201,0.20003503561019897
46,0.2406763881444931,0.18810488283634186,0.19630177319049835
47,0.21985310316085815,0.23084479570388794,0.20381872355937958
48,0.23765023052692413,0.24121934175491333,0.21775445342063904
49,0.2202032059431076,0.2592189311981201,0.25497695803642273
50,0.2874644994735718,0.2521800696849823,0.23524095118045807
51,0.24198734760284424,0.24110552668571472,0.22302770614624023
52,0.2673865854740143,0.2553919553756714,0.23355762660503387
53,0.19341765344142914,0.1940680295228958,0.14034457504749298
54,0.19038142263889313,0.16798923909664154,0.15322917699813843
55,0.20033028721809387,0.1735895276069641,0.12814095616340637
56,0.18691115081310272,0.1977548599243164,0.14997296035289764
57,0.2300143837928772,0.18837343156337738,0.16243185102939606
58,0.23834887146949768,0.1910112500190735,0.15112359821796417
59,0.2001045197248459,0.17876797914505005,0.15968956053256989
60,0.21382403373718262,0.1859876811504364,0.1546354740858078
61,0.20117592811584473,0.21287232637405396,0.1656755656003952
62,0.23483781516551971,0.17947062849998474,0.1421041041612625
63,0.2267839014530182,0.205261692404747,0.1444959044456482
64,0.22929024696350098,0.21208298206329346,0.1479729413986206
65,0.18984270095825195,0.21460513770580292,0.1888279765844345
66,0.24565745890140533,0.21557801961898804,0.18519139289855957
67,0.22798022627830505,0.2129785269498825,0.17454847693443298
68,0.2581074833869934,0.1999315470457077,0.18015766143798828
69,0.23626264929771423,0.22455526888370514,0.18853531777858734
70,0.22773338854312897,0.1927993893623352,0.18339870870113373
71,0.19760479032993317,0.20826159417629242,0.07920216768980026
72,0.213845357298851,0.1873617172241211,0.12629172205924988
73,0.184920534491539,0.20902739465236664,0.15102124214172363
74,0.1829708367586136,0.18080411851406097,0.13321198523044586
75,0.20020762085914612,0.1508060097694397,0.08248911052942276
76,0.17116305232048035,0.17287293076515198,0.1559125930070877
77,0.1939796507358551,0.1970655620098114,0.14875519275665283
78,0.11318483203649521,0.12419191747903824,0.11853095889091492
79,0.16840988397598267,0.1674094796180725,0.0755418911576271
80,0.1654069423675537,0.18662680685520172,0.15768224000930786
81,0.1535542756319046,0.1859320104122162,0.1292099952697754
82,0.20516322553157806,0.16834108531475067,0.14530223608016968
83,0.24029740691184998,0.18072615563869476,0.13961175084114075
84,0.22458289563655853,0.21837888658046722,0.17741157114505768
85,0.21633736789226532,0.15087632834911346,0.15232409536838531
86,0.20899078249931335,0.17605869472026825,0.1482728123664856
87,0.16202466189861298,0.16325397789478302,0.14495588839054108
88,0.20430484414100647,0.1668718159198761,0.12323452532291412
89,0.1535387635231018,0.17607611417770386,0.11395934224128723
90,0.17556531727313995,0.1695411205291748,0.15665607154369354
91,0.19864504039287567,0.20261351764202118,0.15201181173324585
92,0.17340469360351562,0.19670416414737701,0.19272971153259277
93,0.24188563227653503,0.21065500378608704,0.1288350373506546
94,0.21718324720859528,0.20948444306850433,0.16101470589637756
95,0.21342997252941132,0.19012728333473206,0.15023338794708252
96,0.1661546677350998,0.20816712081432343,0.12353818118572235
97,0.2764126658439636,0.22570012509822845,0.12425331026315689
98,0.20547965168952942,0.2012070268392563,0.1467464119195938
99,0.25746917724609375,0.2424355447292328,0.2237369865179062
100,0.18406535685062408,0.20310215651988983,0.17932555079460144
